t (s),V (mV)
0,10.5537
1.05,10.456
2.1,10.4278
3.149,10.3901
4.178,10.3552
5.178,10.3313
6.178,10.3917
7.177,10.3635
8.178,10.2591
9.178,10.2915
10.178,10.3496
11.177,10.4726
12.178,10.4438
13.178,10.4027
14.178,10.429
15.178,10.4458
16.178,10.4624
17.178,10.3355
18.177,10.3821
19.178,10.2896
20.178,10.2823
21.178,10.3606
22.177,10.3819
23.178,10.393
24.178,10.3899
25.177,10.3921
26.178,10.4206
27.178,10.3994
28.178,10.3204
29.177,10.2559
30.178,10.2355
31.178,10.19
32.177,10.2137
33.177,10.2683
34.177,10.4369
35.177,10.4173
36.178,10.4298
37.178,10.366
38.177,10.238
39.178,10.0681
40.179,9.9873
41.177,10.0968
42.178,10.1366
43.178,10.1319
44.177,10.1138
45.177,10.1107
46.178,10.1378
47.178,10.1
48.178,10.0197
49.179,9.9243
50.178,9.8157
51.179,9.7678
52.179,9.7008
53.179,9.6335
54.178,9.6394
55.179,9.4718
56.178,9.5573
57.179,9.5221
58.179,9.5145
59.179,9.5082
60.178,9.469
61.178,9.5139
62.179,9.4947
63.179,9.4989
64.179,9.4517
65.178,9.4493
66.179,9.4391
67.179,9.5436
68.179,9.6764
69.178,9.7389
70.179,9.7505
71.179,9.7397
72.179,9.7097
73.178,9.7422
74.179,9.694
75.178,9.5803
76.179,9.533
77.179,9.594
78.179,9.6328
79.178,9.5977
80.179,9.6104
81.179,9.6211
82.179,9.6228
83.178,9.6966
84.179,9.7661
85.179,9.8064
86.179,9.7601
87.178,9.7758
88.179,9.7087
89.179,9.6881
90.179,9.5066
91.179,9.3594
92.178,9.2586
93.179,9.3579
94.179,9.5283
95.179,9.6067
96.178,9.6658
97.179,9.6622
98.179,9.6445
99.179,9.6068
100.179,9.6073
101.178,9.6037
102.179,9.5907
103.179,9.6525
104.178,9.6303
105.179,9.632
106.179,9.608
107.178,9.5669
108.179,9.5275
109.179,9.4967
110.178,9.5123
111.178,9.4087
112.178,9.3905
113.179,9.3935
114.179,9.4147
115.178,9.4847
116.179,9.5246
117.179,9.4515
118.178,9.4429
119.178,9.4362
120.179,9.4207
121.179,9.3848
122.179,9.4635
123.179,9.3953
124.178,9.4435
125.178,9.4132
126.178,9.3582
127.179,9.4037
128.179,9.3827
129.178,9.346
130.179,9.3934
131.179,9.4412
132.179,9.5299
133.179,9.5662
134.178,9.5479
135.178,9.5195
136.179,9.4371
137.179,9.4393
138.179,9.4509
139.178,9.4223
140.179,9.3454
141.179,9.2842
142.179,9.2598
143.179,9.298
144.178,9.1913
145.178,9.0972
146.179,9.0418
147.179,9.04
148.178,9.0095
149.178,8.7417
150.179,8.6679
151.179,8.6814
152.179,8.6219
153.178,8.651
154.179,8.7369
155.179,8.781
156.179,8.8098
157.178,8.8058
158.178,8.7564
159.179,8.8904
160.179,8.906
161.179,8.8124
162.178,8.7879
163.179,8.8739
164.178,8.9042
165.179,8.8822
166.179,8.8975
167.179,8.8855
168.179,8.9291
169.179,8.9705
170.179,8.9967
171.179,9.0094
172.179,8.9445
173.179,8.8975
174.179,8.8631
175.178,8.8377
176.179,8.7467
177.179,8.6514
178.179,8.6361
179.178,8.7488
180.179,8.755
181.178,8.7966
182.179,8.9371
183.179,8.9525
184.179,8.9869
185.178,8.8634
186.178,8.616
187.178,8.4942
188.178,8.4445
189.179,8.334
190.179,8.3514
191.179,8.3945
192.179,8.4932
193.179,8.5583
194.179,8.5532
195.179,8.5715
196.178,8.596
197.178,8.4885
198.179,8.578
199.179,8.5537
200.179,8.6049
201.178,8.6437
202.178,8.6221
203.178,8.6524
204.179,8.5362
205.179,8.5877
206.179,8.5442
207.178,8.5928
208.178,8.6313
209.178,8.6145
210.178,8.5552
211.179,8.5555
212.179,8.6037
213.179,8.702
214.179,8.7082
215.178,8.7703
216.178,8.6929
217.179,8.5413
218.179,8.4391
219.179,8.4346
220.179,8.4148
221.179,8.4076
222.178,8.6103
223.178,8.6629
224.178,8.6689
225.179,8.6953
226.179,8.5831
227.179,8.5733
228.178,8.5867
229.179,8.6816
230.179,8.6703
231.178,8.6825
232.179,8.7249
233.179,8.7068
234.179,8.6685
235.179,8.695
236.179,8.6473
237.178,8.6601
238.178,8.7381
239.178,8.7319
240.179,8.6764
241.179,8.692
242.179,8.633
243.179,8.6668
244.179,8.591
245.179,8.4676
246.179,8.4009
247.178,8.3743
248.178,8.3393
249.178,8.2971
250.178,8.2289
251.178,8.3287
252.179,8.2739
253.179,8.2351
254.179,8.1507
255.179,8.0689
256.179,8.1415
257.179,8.0898
258.179,8.0252
259.179,8.177
260.179,8.4332
261.179,8.5195
262.179,8.4985
263.179,8.3462
264.179,8.2628
265.179,8.2122
266.179,8.1985
267.179,8.323
268.179,8.4199
269.179,8.4701
270.178,8.4809
271.178,8.4424
272.178,8.3061
273.178,8.2319
274.179,8.237
275.179,8.1095
276.179,8.083
277.179,8.0043
278.179,7.7794
279.179,7.9424
280.179,8.0794
281.179,8.1124
282.179,7.9018
283.179,7.8879
284.179,7.9306
285.179,7.9999
286.179,8.0149
287.179,7.9859
288.179,8.0714
289.179,8.0329
290.179,7.9986
291.179,8.0517
292.179,8.1097
293.179,8.1905
294.179,8.2117
295.178,8.1671
296.178,8.1476
297.178,8.1301
298.178,8.0125
299.179,7.9999
300.179,8.0325
301.179,8.0686
302.179,8.0337
303.179,8.0244
304.179,7.8926
305.179,7.8278
306.179,7.7191
307.178,7.7716
308.178,7.751
309.178,7.6737
310.179,7.646
311.179,7.6179
312.179,7.6404
313.178,7.6357
314.178,7.5411
315.178,7.6126
316.179,7.6171
317.179,7.6208
318.179,7.6486
319.179,7.6658
320.179,7.88
321.179,7.9876
322.179,8.1306
323.179,8.1837
324.179,8.1844
325.179,8.1499
326.179,8.0838
327.179,8.0461
328.179,8.0689
329.179,8.1687
330.179,8.2118
331.178,8.2048
332.178,8.084
333.178,7.9634
334.178,7.925
335.179,7.9392
336.179,7.8075
337.179,7.8718
338.179,7.9066
339.179,7.9234
340.178,7.7638
341.178,7.4913
342.179,7.5319
